"2023-06-08 at 11:54"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
11:58:21 -1.24 51.76 101.55
11:58:22 -0.67 51.76 101.55
11:58:23 -1.08 51.76 101.55
11:58:24 -1.21 51.76 101.55
11:58:25 -0.99 51.76 101.55
11:58:26 -0.90 51.76 101.52
11:58:27 -0.54 51.76 101.55
11:58:28 -0.83 51.73 101.55
11:58:29 -0.91 51.73 101.55
11:58:30 -1.07 51.76 101.55
11:58:31 -1.12 51.76 101.55
11:58:32 -1.07 51.76 101.52
11:58:34 -1.26 51.76 101.55
11:58:35 -0.91 51.76 101.52
11:58:36 -0.69 51.76 101.56
11:58:37 -0.84 51.76 101.56
11:58:38 -1.01 51.76 101.55
11:58:39 -0.77 51.76 101.55
11:58:40 -1.14 51.76 101.52
11:58:41 -0.88 51.76 101.55
11:58:42 -0.74 51.76 101.52
11:58:43 4.66 51.76 101.52
11:58:44 20.99 51.76 101.52
11:58:45 44.56 51.76 101.55
11:58:46 62.93 51.76 101.55
11:58:47 71.52 51.76 101.52
11:58:48 71.50 51.76 101.55
11:58:49 61.19 51.76 101.55
11:58:50 45.62 51.76 101.52
11:58:51 30.49 51.76 101.55
11:58:52 20.85 51.73 101.55
11:58:53 14.84 51.73 101.52
11:58:54 11.18 51.73 101.55
11:58:55 8.25 51.73 101.55
11:58:56 6.31 51.73 101.55
11:58:57 5.54 51.76 101.55
11:58:58 4.23 51.73 101.52
11:58:59 2.97 51.73 101.55
11:59:00 2.25 51.76 101.55
11:59:01 1.53 51.76 101.52
11:59:02 1.11 51.76 101.52
11:59:03 0.40 51.76 101.56
11:59:04 0.61 51.76 101.56
11:59:05 0.03 51.76 101.56
11:59:06 -0.23 51.76 101.52
11:59:07 -0.07 51.76 101.52
11:59:08 -0.39 51.76 101.52
11:59:09 0.03 51.76 101.55
11:59:10 6.61 51.76 101.55
11:59:11 22.41 51.73 101.55
11:59:12 44.59 51.73 101.55
11:59:13 63.20 51.76 101.52
11:59:14 73.80 51.76 101.55
11:59:15 74.11 51.76 101.52
11:59:16 64.16 51.73 101.52
11:59:17 48.75 51.73 101.55
11:59:18 34.34 51.76 101.55
11:59:19 23.09 51.76 101.52
11:59:20 16.35 51.76 101.52
11:59:21 12.69 51.76 101.55
11:59:22 9.52 51.76 101.55
11:59:23 7.38 51.76 101.55
11:59:24 5.82 51.76 101.52
11:59:25 4.50 51.76 101.55
11:59:26 3.60 51.76 101.52
11:59:27 2.65 51.76 101.52
11:59:28 2.07 51.76 101.55
11:59:29 1.55 51.76 101.52
11:59:30 1.08 51.76 101.55
11:59:31 1.07 51.76 101.55
11:59:32 0.62 51.76 101.55
11:59:33 0.75 51.76 101.55
11:59:34 0.41 51.73 101.52
11:59:35 -0.02 51.73 101.55
11:59:36 -0.11 51.76 101.55
11:59:37 -0.14 51.76 101.55
11:59:38 0.19 51.76 101.56
11:59:39 -0.63 51.76 101.52
11:59:40 -0.03 51.76 101.55
11:59:41 -0.42 51.76 101.52
11:59:42 -0.14 51.76 101.55
11:59:43 -0.49 51.76 101.55
11:59:44 2.12 51.76 101.55
11:59:45 14.18 51.76 101.52
11:59:47 35.80 51.76 101.52
11:59:48 58.31 51.76 101.52
11:59:49 72.60 51.76 101.55
11:59:50 77.43 51.76 101.55
11:59:51 70.98 51.73 101.52
11:59:52 57.14 51.73 101.55
11:59:53 41.17 51.73 101.52
11:59:54 28.13 51.73 101.55
11:59:55 19.61 51.76 101.52
11:59:56 14.96 51.76 101.55
11:59:57 11.37 51.76 101.55
11:59:58 8.30 51.76 101.52
11:59:59 6.80 51.76 101.55
12:00:00 5.63 51.76 101.55
12:00:01 4.07 51.76 101.55
12:00:02 3.78 51.76 101.55
12:00:03 2.72 51.76 101.52
12:00:04 2.11 51.73 101.52
12:00:05 1.85 51.73 101.52
12:00:06 1.36 51.76 101.55
12:00:07 1.31 51.76 101.55
12:00:08 1.22 51.76 101.55
12:00:09 0.64 51.76 101.55
12:00:10 0.67 51.76 101.55
12:00:11 0.64 51.76 101.52
12:00:12 0.76 51.76 101.54
12:00:13 0.73 51.76 101.56
12:00:14 0.63 51.73 101.55
12:00:15 0.39 51.73 101.55
12:00:16 0.44 51.76 101.55
12:00:17 -0.00 51.73 101.52
12:00:18 0.56 51.73 101.55
12:00:19 4.75 51.76 101.55
12:00:20 22.51 51.76 101.55
12:00:21 48.26 51.76 101.55
12:00:22 67.77 51.76 101.52
12:00:23 78.01 51.76 101.52
12:00:24 78.84 51.76 101.55
12:00:25 74.66 51.76 101.52
12:00:26 59.61 51.76 101.55
12:00:27 41.55 51.76 101.52
12:00:28 28.24 51.76 101.55
12:00:29 19.69 51.76 101.55
12:00:30 14.49 51.76 101.52
12:00:31 11.49 51.76 101.52
12:00:32 8.16 51.76 101.55
12:00:33 6.50 51.76 101.55
12:00:34 4.99 51.76 101.55
12:00:35 3.89 51.76 101.55
12:00:36 2.40 51.76 101.52
12:00:37 1.73 51.76 101.52
12:00:38 1.42 51.76 101.55
12:00:39 0.82 51.76 101.55
12:00:40 0.83 51.76 101.52
12:00:41 0.41 51.76 101.55
12:00:42 -0.06 51.76 101.55
12:00:43 -0.36 51.76 101.55
12:00:44 -0.00 51.76 101.55
12:00:45 -0.01 51.76 101.55
12:00:46 -0.64 51.76 101.55
12:00:47 -0.31 51.76 101.52
12:00:48 -0.61 51.76 101.52
12:00:49 -0.83 51.76 101.55
12:00:50 -0.39 51.76 101.55
12:00:51 -0.85 51.73 101.55
12:00:52 -0.39 51.73 101.55
12:00:53 -0.68 51.76 101.55
12:00:54 -0.82 51.76 101.55
12:00:55 -0.18 51.76 101.52
12:00:56 -1.02 51.76 101.55
12:00:57 -1.03 51.76 101.52
12:00:59 -0.95 51.76 101.52
12:01:00 -0.69 51.76 101.52
12:01:01 -0.57 51.76 101.55
12:01:02 -0.58 51.73 101.55
12:01:03 -0.69 51.73 101.55
12:01:04 -0.76 51.76 101.55
12:01:05 -0.85 51.76 101.55
12:01:06 -0.74 51.73 101.55
12:01:07 -0.58 51.73 101.52
12:01:08 -1.16 51.73 101.55
12:01:09 -0.75 51.73 101.55
12:01:10 -0.68 51.76 101.55
12:01:11 -0.88 51.76 101.52
12:01:12 -1.05 51.73 101.55
12:01:13 -1.08 51.73 101.55
12:01:14 -0.64 51.76 101.55
12:01:15 -0.65 51.76 101.55
12:01:16 -1.42 51.76 101.55
12:01:17 -0.81 51.76 101.55
12:01:18 -0.87 51.76 101.55
12:01:19 -1.10 51.76 101.52
12:01:20 -0.61 51.76 101.55
12:01:21 -0.77 51.76 101.55
12:01:22 -0.83 51.76 101.55
12:01:23 -0.80 51.76 101.55
12:01:24 -0.87 51.76 101.52
12:01:25 -1.00 51.76 101.55
12:01:26 -1.13 51.76 101.52
12:01:27 -0.68 51.76 101.55
12:01:28 -0.69 51.76 101.55
12:01:29 -0.74 51.73 101.52
12:01:30 -1.21 51.73 101.55
12:01:31 -0.68 51.76 101.52
12:01:32 -1.06 51.76 101.55
12:01:33 -0.73 51.76 101.55
12:01:34 -0.76 51.76 101.55
12:01:35 -1.22 51.76 101.55
12:01:36 -0.70 51.76 101.56
12:01:37 -0.48 51.76 101.56
12:01:38 -1.10 51.76 101.56
12:01:39 -0.75 51.76 101.55
12:01:40 -1.20 51.76 101.55
12:01:41 -0.80 51.76 101.55
12:01:42 -1.16 51.73 101.55
12:01:43 7.64 51.73 101.55
12:01:44 42.08 51.76 101.52
12:01:45 100.21 51.76 101.55
12:01:46 154.35 51.73 101.55
12:01:47 185.91 51.73 101.55
12:01:48 193.74 51.73 101.55
12:01:49 175.25 51.76 101.52
12:01:50 136.47 51.76 101.55
12:01:51 95.44 51.76 101.55
12:01:52 64.65 51.76 101.55
12:01:53 46.22 51.76 101.52
12:01:54 34.09 51.76 101.55
12:01:55 26.21 51.76 101.52
12:01:56 19.51 51.76 101.55
12:01:57 15.61 51.76 101.55
12:01:58 12.19 51.76 101.55
12:01:59 9.42 51.76 101.55
12:02:00 6.82 51.76 101.52
12:02:01 5.24 51.76 101.55
12:02:02 4.02 51.73 101.55
12:02:03 2.69 51.73 101.55
12:02:04 2.22 51.73 101.55
12:02:05 1.37 51.76 101.55
12:02:06 0.66 51.76 101.52
12:02:07 0.96 51.76 101.56
12:02:08 -0.03 51.76 101.56
12:02:09 -0.05 51.73 101.56
12:02:10 -0.38 51.73 101.52
12:02:12 -0.36 51.76 101.55
12:02:13 -0.56 51.76 101.55
12:02:14 -1.08 51.76 101.52
12:02:15 1.01 51.76 101.55
12:02:16 25.18 51.76 101.55
12:02:17 70.71 51.76 101.52
12:02:18 127.21 51.76 101.52
12:02:19 175.27 51.76 101.55
12:02:20 198.48 51.76 101.52
12:02:21 193.11 51.76 101.55
12:02:22 164.62 51.76 101.55
12:02:23 124.20 51.76 101.52
12:02:24 86.31 51.76 101.52
12:02:25 59.09 51.76 101.52
12:02:26 42.43 51.76 101.52
12:02:27 31.36 51.73 101.55
12:02:28 23.62 51.73 101.55
12:02:29 18.02 51.73 101.55
12:02:30 14.03 51.73 101.55
12:02:31 11.30 51.76 101.55
12:02:32 8.45 51.76 101.52
12:02:33 6.03 51.76 101.52
12:02:34 4.26 51.76 101.52
12:02:35 3.30 51.76 101.55
12:02:36 2.73 51.76 101.52
12:02:37 1.96 51.76 101.55
12:02:38 0.93 51.76 101.55
12:02:39 0.73 51.76 101.55
12:02:40 0.43 51.76 101.55
12:02:41 -0.20 51.76 101.52
12:02:42 -0.66 51.73 101.55
12:02:43 -0.05 51.73 101.55
12:02:44 -0.33 51.76 101.55
12:02:45 -0.23 51.76 101.55
12:02:46 -0.73 51.76 101.55
12:02:47 -0.62 51.76 101.55
12:02:48 -0.72 51.76 101.52
12:02:49 -0.83 51.76 101.55
12:02:50 -0.75 51.76 101.55
12:02:51 -0.45 51.76 101.52
12:02:52 -0.98 51.76 101.56
12:02:53 -0.73 51.73 101.54
12:02:54 -0.91 51.73 101.52
12:02:55 -0.71 51.76 101.52
12:02:56 -0.90 51.76 101.55
12:02:57 -1.24 51.76 101.55
12:02:58 1.88 51.76 101.55
12:02:59 27.13 51.76 101.52
12:03:00 79.09 51.76 101.52
12:03:01 139.99 51.76 101.52
12:03:02 185.64 51.76 101.55
12:03:03 205.37 51.76 101.52
12:03:04 196.99 51.76 101.52
12:03:05 164.51 51.76 101.55
12:03:06 120.33 51.76 101.55
12:03:07 99.90 51.76 101.52
12:03:08 68.02 51.76 101.52
12:03:09 48.45 51.76 101.52
12:03:10 35.11 51.76 101.52
12:03:11 26.75 51.76 101.52
12:03:12 20.16 51.76 101.52
12:03:13 16.00 51.76 101.55
12:03:14 11.78 51.73 101.52
12:03:15 9.37 51.73 101.55
12:03:16 7.08 51.76 101.55
12:03:17 4.84 51.76 101.52
12:03:18 4.21 51.76 101.55
12:03:19 2.73 51.76 101.55
12:03:20 2.06 51.76 101.55
12:03:21 1.70 51.76 101.55
12:03:22 0.61 51.76 101.55
12:03:24 0.53 51.76 101.52
12:03:25 0.06 51.76 101.55
12:03:26 -0.05 51.76 101.52
12:03:27 0.12 51.76 101.52
12:03:28 -0.58 51.76 101.55
12:03:29 -0.49 51.76 101.52
12:03:30 -0.21 51.76 101.55
12:03:31 -0.63 51.76 101.55
12:03:32 -0.64 51.76 101.55
12:03:33 -0.67 51.76 101.52
12:03:34 -0.96 51.76 101.54
12:03:35 -0.67 51.76 101.56
12:03:36 -0.92 51.76 101.55
12:03:37 -0.48 51.76 101.55
12:03:38 -1.00 51.76 101.55
12:03:39 -1.19 51.76 101.52
12:03:40 4.16 51.76 101.52
12:03:41 31.45 51.76 101.55
12:03:42 80.53 51.76 101.52
12:03:43 136.98 51.76 101.55
12:03:44 181.47 51.76 101.52
12:03:45 199.91 51.76 101.52
12:03:46 191.90 51.76 101.55
12:03:47 160.90 51.76 101.52
12:03:48 120.03 51.76 101.55
12:03:49 83.29 51.76 101.55
12:03:50 57.62 51.76 101.55
12:03:51 41.41 51.73 101.52
12:03:52 31.02 51.73 101.55
12:03:53 23.78 51.76 101.55
12:03:54 17.88 51.76 101.52
12:03:55 13.88 51.76 101.55
12:03:56 10.40 51.76 101.55
12:03:57 7.95 51.76 101.55
12:03:58 6.13 51.76 101.55
12:03:59 4.47 51.76 101.55
12:04:00 3.05 51.76 101.55
12:04:01 2.33 51.76 101.55
12:04:02 1.62 51.76 101.55
12:04:03 1.16 51.73 101.52
12:04:04 0.60 51.73 101.52
12:04:05 0.77 51.76 101.52
12:04:06 0.04 51.73 101.55
12:04:07 -0.06 51.73 101.55
12:04:08 -0.74 51.76 101.52
12:04:09 -0.24 51.76 101.52
12:04:10 -0.72 51.76 101.52
12:04:11 -0.59 51.76 101.55
12:04:12 -0.48 51.76 101.55
