"2022-03-30 at 14:38"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
14:42:54 35.65 51.73 101.52
14:42:55 35.76 51.73 101.52
14:42:56 34.49 51.73 101.52
14:42:57 32.17 51.73 101.52
14:42:58 29.85 51.73 101.52
14:42:59 26.45 51.76 101.52
14:43:00 23.19 51.73 101.52
14:43:01 19.83 51.73 101.52
14:43:02 18.11 51.73 101.52
14:43:03 15.23 51.73 101.52
14:43:04 13.72 51.73 101.52
14:43:05 11.98 51.73 101.52
14:43:06 10.14 51.73 101.52
14:43:07 8.65 51.73 101.52
14:43:09 8.58 51.73 101.52
14:43:10 6.87 51.73 101.52
14:43:11 6.53 51.73 101.51
14:43:12 6.01 51.73 101.51
14:43:13 5.14 51.73 101.51
14:43:14 4.87 51.73 101.51
14:43:15 3.95 51.73 101.52
14:43:16 3.62 51.73 101.52
14:43:17 3.07 51.73 101.52
14:43:18 3.06 51.73 101.52
14:43:19 2.54 51.73 101.52
14:43:20 2.10 51.73 101.52
14:43:21 2.00 51.73 101.51
14:43:22 2.24 51.73 101.51
14:43:23 1.86 51.73 101.52
14:43:24 1.74 51.73 101.52
14:43:25 1.25 51.73 101.52
14:43:26 1.62 51.73 101.52
14:43:27 0.89 51.73 101.52
14:43:28 1.33 51.73 101.52
14:43:29 1.84 51.73 101.52
14:43:30 0.91 51.73 101.52
14:43:31 1.54 51.73 101.52
14:43:32 1.02 51.73 101.51
14:43:33 1.26 51.73 101.51
14:43:34 0.52 51.76 101.51
14:43:35 1.30 51.73 101.51
14:43:36 0.91 51.73 101.51
14:43:37 0.84 51.73 101.51
14:43:38 1.09 51.73 101.51
14:43:39 1.07 51.73 101.52
14:43:40 0.92 51.73 101.52
14:43:41 0.91 51.73 101.53
14:43:42 0.96 51.76 101.52
14:43:43 0.97 51.73 101.52
14:43:44 0.76 51.73 101.52
14:43:45 0.77 51.73 101.51
14:43:46 1.06 51.73 101.51
14:43:47 0.64 51.73 101.51
14:43:48 0.98 51.73 101.51
14:43:49 1.10 51.76 101.52
14:43:50 0.76 51.73 101.52
14:43:51 1.00 51.73 101.51
14:43:52 0.78 51.73 101.51
14:43:53 1.27 51.73 101.51
14:43:54 3.97 51.76 101.51
14:43:55 10.48 51.73 101.52
14:43:56 20.58 51.73 101.52
14:43:57 32.33 51.73 101.52
14:43:58 43.79 51.73 101.51
14:43:59 53.82 51.73 101.51
14:44:00 62.41 51.73 101.51
14:44:01 69.09 51.73 101.51
14:44:02 75.51 51.73 101.51
14:44:03 79.45 51.73 101.51
14:44:04 80.68 51.73 101.51
14:44:05 80.46 51.73 101.51
14:44:06 77.55 51.73 101.51
14:44:07 72.37 51.73 101.51
14:44:08 65.98 51.73 101.51
14:44:09 58.59 51.73 101.51
14:44:10 51.19 51.73 101.51
14:44:11 44.90 51.73 101.51
14:44:12 38.89 51.73 101.51
14:44:13 33.83 51.73 101.51
14:44:14 29.29 51.73 101.51
14:44:15 25.96 51.73 101.51
14:44:16 22.72 51.73 101.51
14:44:17 19.47 51.73 101.51
14:44:18 16.82 51.73 101.51
14:44:19 14.86 51.73 101.51
14:44:21 12.88 51.73 101.51
14:44:22 11.47 51.73 101.51
14:44:23 10.03 51.73 101.51
14:44:24 8.90 51.73 101.51
14:44:25 7.69 51.73 101.51
14:44:26 6.68 51.76 101.51
14:44:27 5.94 51.73 101.51
14:44:28 5.38 51.73 101.51
14:44:29 4.81 51.73 101.51
14:44:30 4.14 51.73 101.51
14:44:31 3.90 51.73 101.51
14:44:32 3.33 51.73 101.51
14:44:33 3.32 51.73 101.51
14:44:34 2.73 51.73 101.51
14:44:35 2.51 51.73 101.51
14:44:36 2.49 51.73 101.51
14:44:37 2.66 51.73 101.51
14:44:38 1.68 51.73 101.51
14:44:39 1.83 51.73 101.51
14:44:40 2.01 51.73 101.51
14:44:41 1.85 51.73 101.51
14:44:42 1.33 51.73 101.51
14:44:43 1.58 51.73 101.51
14:44:44 1.39 51.73 101.51
14:44:45 1.52 51.73 101.51
14:44:46 1.31 51.73 101.51
14:44:47 1.42 51.73 101.51
14:44:48 1.35 51.73 101.51
14:44:49 0.62 51.73 101.52
14:44:50 1.49 51.73 101.52
14:44:51 1.20 51.73 101.52
14:44:52 1.25 51.73 101.51
14:44:53 0.97 51.73 101.51
14:44:54 1.12 51.73 101.51
14:44:55 1.33 51.76 101.51
14:44:56 0.97 51.73 101.51
14:44:57 0.94 51.73 101.51
14:44:58 1.29 51.73 101.51
14:44:59 1.28 51.73 101.51
14:45:00 1.02 51.73 101.51
14:45:01 0.94 51.73 101.51
14:45:02 1.06 51.73 101.51
14:45:03 1.90 51.73 101.51
14:45:04 4.97 51.73 101.51
14:45:05 12.92 51.73 101.51
14:45:06 24.72 51.76 101.51
14:45:07 37.70 51.73 101.51
14:45:08 50.01 51.73 101.51
14:45:09 61.65 51.73 101.51
14:45:10 70.85 51.73 101.51
14:45:11 78.33 51.73 101.51
14:45:12 84.82 51.76 101.51
14:45:13 88.82 51.76 101.51
14:45:14 89.60 51.73 101.51
14:45:15 87.96 51.73 101.51
14:45:16 82.77 51.73 101.51
